C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
4,8,2,16,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,16,2,32,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,32,2,64,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
8,2,2,8,32,0,CM,32,1.0,0.998721881390593,0.998721881390593,40.0
8,4,2,16,32,0,CM,64,1.0,0.998721881390593,0.998721881390593,80.0
8,8,2,32,32,0,CM,64,1.0,0.998721881390593,0.998721881390593,80.0
8,16,2,64,32,0,CM,64,1.0,0.998721881390593,0.998721881390593,80.0
8,32,2,128,32,0,CM,64,1.0,0.998721881390593,0.998721881390593,80.0
16,2,2,16,64,0,CM,64,1.0,0.9966836734693878,0.9966836734693878,40.0
16,4,2,32,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,8,2,64,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,16,2,128,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,32,2,256,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
2,2,2,2,16,1,CM,8,1.0,0.9997441146366428,0.9997441146366428,40.0
2,4,2,4,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,2,8,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,16,2,16,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,32,2,32,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
4,2,2,4,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0
4,4,2,8,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,8,2,16,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,16,2,32,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,32,2,64,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
8,2,2,8,32,1,CM,32,1.0,0.998721881390593,0.998721881390593,40.0
8,4,2,16,32,1,CM,64,1.0,0.998721881390593,0.998721881390593,80.0
